epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3031,1.34588,2.59554,1.36344,0.65487,0.72173,0.7503,0.43732,1.36584,3.46018,1.93375,0.000375,0.000375,0.000375
2,34.0776,1.12964,1.23633,1.26004,0.79038,0.53995,0.61859,0.335,1.68051,3.27796,2.50093,0.000747403,0.000747403,0.000747403
3,50.5833,1.13289,1.07664,1.25515,0.54839,0.36372,0.33971,0.13511,2.17883,13.2131,2.80287,0.00110446,0.00110446,0.00110446
4,67.2104,1.12523,1.05016,1.2451,0.67673,0.25668,0.27499,0.18751,1.80198,9.77531,2.56977,0.00117575,0.00117575,0.00117575
5,83.0757,1.08192,0.90167,1.22948,0.73211,0.71408,0.80276,0.48919,1.46387,2.03254,2.07902,0.001151,0.001151,0.001151
6,99.4693,1.038,0.8441,1.20957,0.6902,0.62514,0.68634,0.37875,1.75881,2.01311,2.44296,0.00112625,0.00112625,0.00112625
7,115.8,1.04149,0.83723,1.22284,0.85405,0.84393,0.90889,0.52958,1.48249,1.01006,2.12588,0.0011015,0.0011015,0.0011015
8,131.895,1.0347,0.78566,1.23659,0.79363,0.95351,0.90438,0.55809,1.30392,1.01933,1.78962,0.00107675,0.00107675,0.00107675
9,147.446,0.93506,0.68557,1.17267,0.74224,0.83211,0.87533,0.51438,1.43147,1.58661,1.93943,0.001052,0.001052,0.001052
10,164.455,0.92302,0.6709,1.14918,0.89315,0.9341,0.94949,0.61533,1.28127,0.8232,1.7539,0.00102725,0.00102725,0.00102725
11,181.445,0.88612,0.62745,1.11685,0.88173,0.9411,0.94254,0.60806,1.26748,0.89084,1.79715,0.0010025,0.0010025,0.0010025
12,197.622,0.87539,0.62417,1.13938,0.87487,0.92933,0.94555,0.63496,1.16442,0.78642,1.65435,0.00097775,0.00097775,0.00097775
13,213.516,0.8548,0.60502,1.11334,0.86162,0.8513,0.92601,0.59708,1.25536,0.92248,1.75167,0.000953,0.000953,0.000953
14,230.15,0.84924,0.57235,1.1055,0.84206,0.84166,0.89273,0.62071,1.14767,0.94498,1.64467,0.00092825,0.00092825,0.00092825
15,247.452,0.84906,0.57766,1.10964,0.92515,0.94747,0.96744,0.65097,1.16175,0.6874,1.6237,0.0009035,0.0009035,0.0009035
16,265.087,0.87816,0.60699,1.13751,0.87573,0.91964,0.94237,0.6224,1.24313,0.84396,1.67709,0.00087875,0.00087875,0.00087875
17,280.959,0.83597,0.56709,1.10952,0.89588,0.95413,0.98516,0.6542,1.17398,0.67642,1.63024,0.000854,0.000854,0.000854
18,299.732,0.85296,0.55431,1.12004,0.88933,0.9535,0.94918,0.6194,1.20135,0.74867,1.67501,0.00082925,0.00082925,0.00082925
19,318.043,0.80394,0.52203,1.10609,0.91218,0.92622,0.97124,0.67196,1.17215,0.6472,1.63007,0.0008045,0.0008045,0.0008045
20,333.893,0.80219,0.52897,1.09648,0.96107,0.95896,0.98696,0.66774,1.14137,0.67566,1.58222,0.00077975,0.00077975,0.00077975
21,349.202,0.76348,0.50715,1.07627,0.93398,0.96811,0.98962,0.70328,1.1072,0.6211,1.57521,0.000755,0.000755,0.000755
22,365.811,0.76586,0.50802,1.07814,0.96364,0.96082,0.98913,0.69496,1.07161,0.59838,1.57073,0.00073025,0.00073025,0.00073025
23,381.659,0.72921,0.49758,1.05792,0.95626,0.96458,0.97648,0.67843,1.12212,0.63987,1.61053,0.0007055,0.0007055,0.0007055
24,397.682,0.75529,0.48231,1.06093,0.95922,0.96958,0.9864,0.70277,1.11001,0.59175,1.61302,0.00068075,0.00068075,0.00068075
25,413.157,0.75032,0.47422,1.0674,0.90337,0.93144,0.97531,0.67356,1.12349,0.63069,1.63738,0.000656,0.000656,0.000656
26,429.304,0.71777,0.46369,1.04756,0.98288,0.98242,0.99328,0.68585,1.13547,0.5684,1.62977,0.00063125,0.00063125,0.00063125
27,445.23,0.68803,0.45359,1.04231,0.93699,0.93211,0.99181,0.72806,1.05534,0.59145,1.53714,0.0006065,0.0006065,0.0006065
28,465.667,0.73011,0.47359,1.07604,0.95913,0.96156,0.97106,0.68136,1.15592,0.61383,1.63766,0.00058175,0.00058175,0.00058175
29,480.88,0.69162,0.45636,1.03673,0.92205,0.97708,0.97342,0.7045,1.1061,0.56055,1.55142,0.000557,0.000557,0.000557
30,496.656,0.66567,0.43352,1.03543,0.95988,0.98189,0.99123,0.70242,1.07264,0.55284,1.5538,0.00053225,0.00053225,0.00053225
31,512.433,0.68269,0.41819,1.05121,0.95097,0.96684,0.98297,0.69452,1.13464,0.55883,1.6193,0.0005075,0.0005075,0.0005075
32,528.398,0.65208,0.41806,1.02024,0.96756,0.97361,0.98594,0.67257,1.16408,0.56521,1.62396,0.00048275,0.00048275,0.00048275
33,543.723,0.6426,0.40778,1.01591,0.95981,0.975,0.98731,0.69404,1.09821,0.56638,1.55383,0.000458,0.000458,0.000458
34,560.097,0.65649,0.4138,1.01168,0.94299,0.97421,0.97565,0.70881,1.07973,0.53081,1.56125,0.00043325,0.00043325,0.00043325
35,576.187,0.62417,0.40357,1.01069,0.95584,0.975,0.97131,0.71379,1.04047,0.52887,1.48581,0.0004085,0.0004085,0.0004085
36,592.209,0.63005,0.39646,1.02323,0.96774,0.97655,0.98855,0.71005,1.12606,0.52796,1.57067,0.00038375,0.00038375,0.00038375
37,607.882,0.62085,0.38489,1.00863,0.97073,0.97586,0.98525,0.7112,1.09611,0.49992,1.52439,0.000359,0.000359,0.000359
38,623.84,0.58989,0.3776,0.98633,0.96368,0.96458,0.99027,0.73344,1.03675,0.49683,1.47844,0.00033425,0.00033425,0.00033425
39,639.941,0.56954,0.3543,0.98507,0.95902,0.97172,0.98345,0.72201,1.05543,0.5192,1.50051,0.0003095,0.0003095,0.0003095
40,655.487,0.57628,0.36097,0.99376,0.95915,0.9781,0.99136,0.7186,1.05126,0.49258,1.5099,0.00028475,0.00028475,0.00028475
41,703.311,0.51372,0.29981,0.97002,0.95376,0.975,0.98051,0.70565,1.08205,0.52148,1.55025,0.00026,0.00026,0.00026
42,718.696,0.53174,0.30977,0.99733,0.94623,0.95567,0.98376,0.70685,1.06206,0.49985,1.53028,0.00023525,0.00023525,0.00023525
43,734.265,0.51488,0.29475,0.96628,0.95488,0.975,0.97913,0.71961,1.07794,0.50633,1.56596,0.0002105,0.0002105,0.0002105
44,749.675,0.50405,0.28669,0.96407,0.9516,0.96577,0.96189,0.70541,1.10758,0.53561,1.59917,0.00018575,0.00018575,0.00018575
45,764.423,0.4763,0.28029,0.95293,0.95801,0.96614,0.95846,0.70242,1.07172,0.52047,1.54974,0.000161,0.000161,0.000161
46,782.155,0.46376,0.26775,0.93161,0.96293,0.975,0.95838,0.69868,1.0692,0.48445,1.54029,0.00013625,0.00013625,0.00013625
47,800.412,0.47062,0.27129,0.95268,0.96813,0.97806,0.97941,0.72281,1.0372,0.46133,1.49813,0.0001115,0.0001115,0.0001115
48,815.731,0.45947,0.25666,0.94078,0.96986,0.97736,0.98995,0.72481,1.05795,0.4543,1.51407,8.675e-05,8.675e-05,8.675e-05
49,830.624,0.4459,0.2557,0.93928,0.97036,0.975,0.9806,0.71477,1.06604,0.45374,1.52897,6.2e-05,6.2e-05,6.2e-05
50,846.181,0.43519,0.25435,0.93391,0.97029,0.975,0.97487,0.71715,1.05221,0.45203,1.51013,3.725e-05,3.725e-05,3.725e-05
