epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2346,1.36667,2.77613,1.34868,0.63981,0.48485,0.6533,0.34849,1.44005,5.83784,1.97823,0.0003,0.0003,0.0003
2,28.6366,1.07764,1.28958,1.1831,0.2671,0.64353,0.36643,0.19242,1.57837,159.362,3.22624,0.000600373,0.000600373,0.000600373
3,41.8815,1.04734,1.01618,1.17645,0.0215,0.15095,0.00789,0.00407,1.81831,26.5775,2.4835,0.00088837,0.00088837,0.00088837
4,55.4214,1.06964,0.94461,1.20179,0.25082,0.13769,0.13535,0.02807,2.46375,158.73,3.5591,0.00116399,0.00116399,0.00116399
5,68.9425,1.1149,0.89761,1.21482,0.58649,0.44103,0.39598,0.23231,1.73976,4.0587,2.40968,0.001151,0.001151,0.001151
6,82.3978,0.98438,0.74913,1.18632,0.4889,0.63032,0.53533,0.35198,1.40349,10.3499,2.15274,0.00112625,0.00112625,0.00112625
7,96.9211,0.98721,0.74962,1.1699,0.73006,0.73391,0.79266,0.49163,1.35137,1.68282,2.04541,0.0011015,0.0011015,0.0011015
8,111.005,0.92786,0.72145,1.1441,0.72646,0.44743,0.69432,0.44924,1.38942,2.55114,1.99228,0.00107675,0.00107675,0.00107675
9,124.331,0.94923,0.68314,1.16988,0.70679,0.76486,0.75181,0.42078,1.49739,1.60546,2.30613,0.001052,0.001052,0.001052
10,139.403,0.9168,0.65528,1.12563,0.85796,0.72663,0.80983,0.50107,1.36238,1.25237,1.94729,0.00102725,0.00102725,0.00102725
11,157.324,0.85264,0.57998,1.09546,0.9145,0.82066,0.91793,0.57302,1.30924,1.00106,1.82145,0.0010025,0.0010025,0.0010025
12,173.855,0.84904,0.58718,1.09594,0.7981,0.81819,0.9182,0.575,1.27035,1.09516,1.8182,0.00097775,0.00097775,0.00097775
13,188.265,0.84807,0.58925,1.08465,0.96471,0.9465,0.97215,0.60372,1.27685,0.90285,1.83154,0.000953,0.000953,0.000953
14,201.191,0.82411,0.54711,1.10316,0.85022,0.72923,0.82753,0.48892,1.51893,1.29543,1.91675,0.00092825,0.00092825,0.00092825
15,214.256,0.82699,0.55027,1.08165,0.8838,0.81941,0.89241,0.59052,1.24869,0.94719,1.72632,0.0009035,0.0009035,0.0009035
16,227.115,0.77673,0.54202,1.06161,0.79795,0.78168,0.88597,0.60758,1.18674,1.14304,1.7036,0.00087875,0.00087875,0.00087875
17,239.772,0.74314,0.49752,1.04626,0.85706,0.87447,0.92148,0.61637,1.20671,0.89004,1.70125,0.000854,0.000854,0.000854
18,253.429,0.78218,0.52138,1.06654,0.81378,0.89791,0.9219,0.62123,1.22313,0.90075,1.68813,0.00082925,0.00082925,0.00082925
19,266.931,0.75762,0.50058,1.06932,0.91184,0.82534,0.9338,0.62167,1.18127,0.85111,1.66341,0.0008045,0.0008045,0.0008045
20,280.112,0.72617,0.48257,1.03767,0.94639,0.88553,0.97135,0.68198,1.14514,0.71349,1.6501,0.00077975,0.00077975,0.00077975
21,292.958,0.73203,0.47615,1.03123,0.88013,0.91991,0.95404,0.63657,1.18081,0.75998,1.67205,0.000755,0.000755,0.000755
22,306.097,0.72205,0.47279,1.05036,0.8721,0.89783,0.93643,0.65027,1.14764,0.78427,1.65304,0.00073025,0.00073025,0.00073025
23,320.039,0.67642,0.44195,1.01386,0.89881,0.8997,0.97001,0.68117,1.13891,0.72019,1.63932,0.0007055,0.0007055,0.0007055
24,332.834,0.68335,0.44336,1.01041,0.92765,0.92272,0.9708,0.66757,1.18273,0.6969,1.63453,0.00068075,0.00068075,0.00068075
25,345.517,0.6879,0.43921,1.01597,0.96235,0.91464,0.98427,0.68024,1.166,0.64493,1.63906,0.000656,0.000656,0.000656
26,358.312,0.6564,0.42374,0.99556,0.98264,0.90913,0.97643,0.66338,1.18401,0.66613,1.70036,0.00063125,0.00063125,0.00063125
27,371.144,0.67203,0.43584,1.01851,0.95501,0.88693,0.94723,0.64502,1.20643,0.78058,1.6623,0.0006065,0.0006065,0.0006065
28,384.575,0.6455,0.4309,1.01326,0.88866,0.89273,0.95298,0.68029,1.15953,0.73661,1.62729,0.00058175,0.00058175,0.00058175
29,396.98,0.64693,0.42103,1.0056,0.90243,0.93469,0.97601,0.67365,1.16743,0.68432,1.63257,0.000557,0.000557,0.000557
30,409.72,0.61504,0.40395,0.98968,0.94595,0.94666,0.97157,0.66944,1.14452,0.66232,1.64809,0.00053225,0.00053225,0.00053225
31,423.032,0.62625,0.39842,0.97728,0.97023,0.92697,0.98445,0.67077,1.16239,0.69696,1.63552,0.0005075,0.0005075,0.0005075
32,438.026,0.60498,0.40092,0.96998,0.96541,0.9356,0.98748,0.67438,1.13317,0.58952,1.65699,0.00048275,0.00048275,0.00048275
33,450.517,0.62125,0.39964,0.99037,0.94737,0.97677,0.98458,0.68091,1.15773,0.58463,1.62555,0.000458,0.000458,0.000458
34,463.307,0.60599,0.39224,0.97234,0.97324,0.96162,0.98164,0.6934,1.09392,0.58173,1.56484,0.00043325,0.00043325,0.00043325
35,476.433,0.60393,0.4011,0.98609,0.97009,0.96015,0.98108,0.69691,1.08346,0.58098,1.53433,0.0004085,0.0004085,0.0004085
36,489.474,0.59841,0.383,0.98153,0.94895,0.94588,0.97632,0.69649,1.01969,0.59286,1.51172,0.00038375,0.00038375,0.00038375
37,502.02,0.59691,0.37692,0.98602,0.94101,0.91289,0.97139,0.69015,1.05947,0.62392,1.52673,0.000359,0.000359,0.000359
38,514.86,0.56429,0.35899,0.96431,0.95395,0.90014,0.96179,0.68943,1.08381,0.63275,1.53142,0.00033425,0.00033425,0.00033425
39,527.92,0.57681,0.35938,0.97838,0.9227,0.94731,0.96931,0.69435,1.10348,0.57443,1.5604,0.0003095,0.0003095,0.0003095
40,540.941,0.58036,0.36412,0.98652,0.93392,0.9316,0.95809,0.66911,1.08641,0.5798,1.58793,0.00028475,0.00028475,0.00028475
41,583.189,0.48295,0.29014,0.94095,0.95617,0.94897,0.97495,0.69024,1.09419,0.52244,1.56459,0.00026,0.00026,0.00026
42,597.375,0.48044,0.28476,0.9244,0.94953,0.9822,0.98535,0.69459,1.07676,0.51777,1.55011,0.00023525,0.00023525,0.00023525
43,611.085,0.46815,0.28235,0.92847,0.93861,0.98163,0.98826,0.7133,1.06763,0.50224,1.54777,0.0002105,0.0002105,0.0002105
44,625.342,0.44803,0.26888,0.92068,0.94891,0.94072,0.98173,0.72289,1.05701,0.51717,1.54498,0.00018575,0.00018575,0.00018575
45,639.522,0.44609,0.26669,0.91837,0.96837,0.95724,0.99417,0.7323,1.05747,0.48388,1.52298,0.000161,0.000161,0.000161
46,654.241,0.4383,0.26243,0.92222,0.98132,0.97736,0.99337,0.73414,1.05271,0.46793,1.51327,0.00013625,0.00013625,0.00013625
47,668.013,0.41845,0.25725,0.90915,0.98527,0.97736,0.99083,0.73689,1.03629,0.45323,1.49843,0.0001115,0.0001115,0.0001115
48,680.871,0.42332,0.25202,0.91022,0.9776,0.95617,0.98592,0.73512,1.0482,0.46057,1.51861,8.675e-05,8.675e-05,8.675e-05
49,693.505,0.41259,0.25305,0.90553,0.98014,0.96087,0.98582,0.73365,1.05739,0.44879,1.51536,6.2e-05,6.2e-05,6.2e-05
50,706.567,0.39647,0.23893,0.89468,0.97995,0.96844,0.98563,0.7331,1.05283,0.45142,1.50978,3.725e-05,3.725e-05,3.725e-05
