epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.38401,1.94065,5.34283,2.16298,0.26811,0.35786,0.20966,0.08593,2.03744,4.22263,2.44019,2.222e-05,2.222e-05,2.222e-05
2,7.11349,1.87185,5.41969,2.09788,0.24648,0.37199,0.20454,0.08808,2.01455,4.24355,2.42006,5.44501e-05,5.44501e-05,5.44501e-05
3,10.32,2.09727,5.54038,2.51516,0.24866,0.29201,0.25448,0.08393,1.84093,8.28111,2.08847,8.53604e-05,8.53604e-05,8.53604e-05
4,14.4388,1.56959,3.80584,1.62695,0.70048,0.77777,0.82096,0.56738,1.13018,6.26287,1.39203,0.000114951,0.000114951,0.000114951
5,19.2051,1.33662,2.70622,1.33396,0.81495,0.83897,0.92283,0.54024,1.35135,3.71645,1.57636,0.000143221,0.000143221,0.000143221
6,22.5533,1.37763,2.62396,1.50825,0.6651,0.86589,0.93158,0.55571,1.41326,3.55603,1.66635,0.000170172,0.000170172,0.000170172
7,26.568,1.17156,2.18323,1.41015,0.78414,0.90241,0.95391,0.59461,1.28953,3.60379,1.55027,0.000195803,0.000195803,0.000195803
8,30.0433,1.33829,2.50488,1.45143,0.80086,0.79745,0.91133,0.58501,1.22415,4.97143,1.50697,0.000220114,0.000220114,0.000220114
9,33.629,1.33811,1.75098,1.32422,0.77419,0.79473,0.89118,0.55919,1.26741,3.52431,1.61242,0.000243105,0.000243105,0.000243105
10,36.8746,1.29674,1.95024,1.38809,0.60827,0.89727,0.70696,0.40475,1.40647,4.39567,1.73844,0.000264776,0.000264776,0.000264776
11,40.2532,1.53303,2.26934,1.56986,0.8062,0.84671,0.85694,0.46931,1.51132,4.23714,1.80918,0.000285127,0.000285127,0.000285127
12,43.5468,1.12692,1.70652,1.327,0.82857,0.83502,0.84731,0.45605,1.55342,4.14846,1.87921,0.000304158,0.000304158,0.000304158
13,47.378,1.39473,2.03396,1.45685,0.65862,0.88532,0.86898,0.50561,1.30982,9.89848,1.6284,0.00032187,0.00032187,0.00032187
14,50.5317,1.2169,1.43947,1.3661,0.72494,0.73615,0.85746,0.51481,1.28589,17.3255,1.62696,0.000338262,0.000338262,0.000338262
15,54.1725,1.30756,1.73429,1.46628,0.761,0.76903,0.80125,0.54478,1.07758,4.95306,1.44301,0.000353334,0.000353334,0.000353334
16,57.3062,1.20941,1.35751,1.49451,0.72901,0.69137,0.73442,0.51015,1.09419,4.87238,1.49712,0.000367086,0.000367086,0.000367086
17,61.0564,1.22673,1.79958,1.49814,0.84643,0.79033,0.84817,0.54967,1.20234,3.74402,1.69287,0.000379518,0.000379518,0.000379518
18,64.1886,1.26183,1.46236,1.46924,0.84166,0.86753,0.8821,0.58568,1.17207,2.57878,1.62436,0.00039063,0.00039063,0.00039063
19,67.3807,1.16344,1.23487,1.35084,0.86484,0.8906,0.931,0.61803,1.17438,2.03037,1.61964,0.000400422,0.000400422,0.000400422
20,70.8008,1.08848,1.39983,1.26974,0.79815,0.86827,0.8995,0.59049,1.16634,2.23428,1.62776,0.000408895,0.000408895,0.000408895
21,74.0382,1.09525,1.35498,1.22093,0.78417,0.8587,0.85216,0.54163,1.31197,2.33113,1.78615,0.000416047,0.000416047,0.000416047
22,77.2637,1.05126,1.58408,1.40354,0.79839,0.82841,0.86826,0.53304,1.36725,1.80136,1.91987,0.00042188,0.00042188,0.00042188
23,80.3957,1.25286,1.10598,1.57732,0.68044,0.74711,0.71161,0.43016,1.39308,2.10506,1.95262,0.000426393,0.000426393,0.000426393
24,83.588,1.16043,1.16131,1.40033,0.72036,0.51039,0.6224,0.3647,1.53608,3.79243,2.08988,0.000429586,0.000429586,0.000429586
25,86.8544,0.97688,1.19996,1.31094,0.66938,0.57385,0.67544,0.41685,1.491,5.25912,2.0332,0.000431459,0.000431459,0.000431459
26,90.0216,1.18424,1.03864,1.31334,0.69523,0.69862,0.7169,0.44315,1.43907,3.42331,1.99293,0.000432012,0.000432012,0.000432012
27,93.3728,1.20285,1.29015,1.40921,0.68404,0.75262,0.73003,0.441,1.41217,2.2691,1.91531,0.000431246,0.000431246,0.000431246
28,96.6756,1.41082,1.20004,1.6725,0.69586,0.80821,0.77096,0.45852,1.30758,1.7759,1.7735,0.000429159,0.000429159,0.000429159
29,99.969,1.14836,0.99674,1.28526,0.69586,0.80821,0.77096,0.45852,1.30758,1.7759,1.7735,0.000425753,0.000425753,0.000425753
30,103.497,1.06363,1.03096,1.28838,0.66699,0.7382,0.70083,0.41047,1.3474,1.72627,1.82885,0.000421027,0.000421027,0.000421027
31,107.408,0.95935,1.00596,1.28981,0.73995,0.74079,0.76376,0.45977,1.36787,1.351,1.85639,0.000414981,0.000414981,0.000414981
32,111.243,1.13183,1.02256,1.3538,0.765,0.70746,0.76237,0.47061,1.34008,1.46226,1.8194,0.000407615,0.000407615,0.000407615
33,114.497,1.03215,0.91988,1.28319,0.765,0.70746,0.76237,0.47061,1.34008,1.46226,1.8194,0.000398929,0.000398929,0.000398929
34,118.201,0.98282,0.92542,1.3274,0.77082,0.69566,0.69744,0.45064,1.26078,1.7477,1.74483,0.000385073,0.000385073,0.000385073
35,122.479,1.07686,0.85805,1.27574,0.78603,0.65116,0.66829,0.43265,1.27224,1.79438,1.78366,0.000363075,0.000363075,0.000363075
36,129.733,1.19917,0.9282,1.30802,0.75666,0.8157,0.7694,0.50185,1.26488,1.36478,1.82703,0.000341077,0.000341077,0.000341077
37,133.254,1.02169,0.87222,1.41288,0.75666,0.8157,0.7694,0.50185,1.26488,1.36478,1.82703,0.000319079,0.000319079,0.000319079
38,140.45,1.08744,0.90019,1.31204,0.79954,0.86776,0.87008,0.57796,1.23098,1.06623,1.7963,0.000297081,0.000297081,0.000297081
39,144.261,0.80311,0.66818,1.08511,0.87665,0.8612,0.91755,0.60876,1.21736,0.9725,1.76382,0.000275084,0.000275084,0.000275084
40,148.203,0.9203,0.79924,1.21791,0.9198,0.87634,0.94974,0.61841,1.21924,0.8422,1.74654,0.000253086,0.000253086,0.000253086
41,183.033,0.88031,0.75052,1.2885,0.9198,0.87634,0.94974,0.61841,1.21924,0.8422,1.74654,0.000231088,0.000231088,0.000231088
42,187.088,0.76614,0.70433,1.15094,0.88954,0.93638,0.95995,0.6314,1.21722,0.77305,1.7332,0.00020909,0.00020909,0.00020909
43,191.09,0.85563,0.78521,1.29359,0.96885,0.88742,0.97834,0.63453,1.21838,0.72113,1.74191,0.000187092,0.000187092,0.000187092
44,195.047,0.6725,0.5913,1.11892,0.96357,0.93782,0.97943,0.64171,1.21247,0.66567,1.74839,0.000165095,0.000165095,0.000165095
