epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.51878,1.9671,4.86305,2.14578,0.04417,0.17937,0.07564,0.04196,1.43217,3.60001,1.31293,2.5e-05,2.5e-05,2.5e-05
2,13.0547,1.79959,4.68646,1.65294,0.05751,0.40138,0.07636,0.042,1.4196,3.60102,1.30946,6.12625e-05,6.12625e-05,6.12625e-05
3,19.4704,1.77658,4.99471,1.95902,0.32939,0.07063,0.09322,0.05267,1.40077,4.44278,1.24539,9.604e-05,9.604e-05,9.604e-05
4,28.7864,1.59526,3.62924,1.49883,0.38844,0.66318,0.45133,0.27693,1.094,2.61064,1.1023,0.000129332,0.000129332,0.000129332
5,37.4338,1.52116,3.01783,1.35427,0.44523,0.64007,0.53876,0.3392,1.15654,2.70456,1.06322,0.00016114,0.00016114,0.00016114
6,45.4351,1.26132,2.59888,1.27012,0.46411,0.52734,0.40436,0.23575,1.17612,3.19802,1.09949,0.000191463,0.000191463,0.000191463
7,54.5302,1.29913,2.37584,1.41257,0.58993,0.6293,0.65679,0.4256,1.14534,2.23013,1.08474,0.0002203,0.0002203,0.0002203
8,62.7622,1.13438,1.92003,1.23642,0.59383,0.71652,0.69926,0.4584,1.10965,2.01091,1.08181,0.000247653,0.000247653,0.000247653
9,70.7979,1.09328,1.66962,1.12619,0.72361,0.61805,0.70993,0.51734,1.03851,2.37169,1.10654,0.00027352,0.00027352,0.00027352
10,77.8187,1.08527,1.65193,1.19119,0.59403,0.70646,0.61108,0.47165,1.01168,4.17443,1.10263,0.000297903,0.000297903,0.000297903
11,84.635,1.23728,1.73825,1.30297,0.58636,0.63093,0.5944,0.40821,1.25082,2.14318,1.19922,0.0003208,0.0003208,0.0003208
12,90.788,1.10214,1.58587,1.27199,0.69496,0.63321,0.65555,0.44122,1.19881,2.07272,1.19688,0.000342213,0.000342213,0.000342213
13,98.3332,1.27749,1.59946,1.32375,0.57161,0.4705,0.46701,0.31142,1.29052,2.9591,1.2333,0.00036214,0.00036214,0.00036214
14,105.136,1.05034,1.21525,1.11675,0.51145,0.33006,0.43336,0.29965,1.25859,3.16451,1.22282,0.000380582,0.000380582,0.000380582
15,112.889,1.32679,1.70778,1.42801,0.28937,0.26745,0.2033,0.11209,1.50073,7.82144,1.30743,0.00039754,0.00039754,0.00039754
16,119.896,1.10036,1.20988,1.19937,0.24909,0.30472,0.2198,0.13939,1.40138,7.68114,1.28668,0.000413012,0.000413012,0.000413012
17,127.238,1.0828,1.34539,1.24161,0.50544,0.38335,0.40914,0.24498,1.36346,2.49659,1.28361,0.000427,0.000427,0.000427
18,132.527,1.11273,1.24315,1.20494,0.65496,0.4409,0.52369,0.29894,1.40424,2.26918,1.28956,0.000439502,0.000439502,0.000439502
19,139.213,1.06727,1.13703,1.19012,0.54383,0.53403,0.48711,0.22983,1.59428,2.55169,1.39883,0.00045052,0.00045052,0.00045052
20,145.545,1.0411,1.05363,1.14907,0.51417,0.41656,0.41792,0.1949,1.66084,2.38712,1.49085,0.000460053,0.000460053,0.000460053
21,151.964,1.11129,0.94141,1.10972,0.52535,0.3887,0.38046,0.18625,1.74479,2.47586,1.56956,0.0004681,0.0004681,0.0004681
22,158.388,1.0247,1.08414,1.12375,0.73241,0.39474,0.44567,0.2162,1.86592,2.32794,1.62483,0.000474663,0.000474663,0.000474663
23,163.505,1.21027,1.18119,1.37127,0.53077,0.39053,0.39303,0.18347,2.0725,2.5296,1.84125,0.00047974,0.00047974,0.00047974
24,168.556,1.14413,1.14777,1.26958,0.49283,0.42302,0.38602,0.16899,2.1483,2.55506,1.91385,0.000483333,0.000483333,0.000483333
25,173.59,1.27223,1.08942,1.32254,0.63286,0.59104,0.5864,0.28885,1.82024,1.83786,1.60066,0.00048544,0.00048544,0.00048544
