epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4587,1.39582,3.00759,1.23373,0.29219,0.46377,0.32995,0.13306,1.87084,8.53242,2.32517,0.0001625,0.0001625,0.0001625
2,18.9268,0.88305,1.06607,0.99917,0.40654,0.39355,0.34505,0.13665,1.85489,3.13135,2.69648,0.000330818,0.000330818,0.000330818
3,27.9559,0.8041,0.75826,0.96857,0.27095,0.3005,0.18319,0.05506,2.27419,8.0284,3.43664,0.000492205,0.000492205,0.000492205
4,36.7602,0.83391,0.7125,0.98936,0.44318,0.29792,0.16372,0.047,2.20264,6.1727,3.74154,0.000646662,0.000646662,0.000646662
5,45.6001,0.7873,0.64396,0.96503,0.33328,0.275,0.10095,0.02328,2.17615,5.0883,3.90127,0.00079419,0.00079419,0.00079419
6,54.6849,0.78606,0.60058,0.98178,0.0615,0.2375,0.0504,0.01335,2.21793,4.50726,3.7632,0.000934788,0.000934788,0.000934788
7,62.9138,0.75558,0.56547,0.95981,0.31015,0.19987,0.04889,0.01084,2.2659,4.36575,3.48805,0.00106846,0.00106846,0.00106846
8,71.6684,0.76257,0.60638,0.95342,0.06418,0.19167,0.05285,0.01372,2.60272,6.86692,4.04495,0.00107675,0.00107675,0.00107675
9,80.1191,0.68375,0.54687,0.93534,0.30592,0.17917,0.06163,0.02305,2.51385,10.7101,3.91398,0.001052,0.001052,0.001052
10,89.8129,0.65705,0.48778,0.91631,0.51236,0.0625,0.01139,0.00452,2.62369,10.3573,3.58704,0.00102725,0.00102725,0.00102725
11,98.7913,0.71009,0.50348,0.95117,0.06516,0.15833,0.05896,0.01886,2.50104,6.53621,3.65181,0.0010025,0.0010025,0.0010025
12,108.41,0.65132,0.48896,0.92021,0.31703,0.15417,0.05871,0.01262,2.5706,6.22681,3.45498,0.00097775,0.00097775,0.00097775
13,116.721,0.65455,0.44996,0.92541,0.59169,0.13542,0.09342,0.02352,2.65857,6.21965,3.53743,0.000953,0.000953,0.000953
14,126.296,0.67582,0.461,0.92402,0.14224,0.21918,0.05914,0.02169,2.54489,5.05869,3.31246,0.00092825,0.00092825,0.00092825
