epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8494,1.23707,2.56197,1.06844,0.14613,0.24696,0.11242,0.04122,1.91912,11.4975,2.18132,0.000175,0.000175,0.000175
2,22.2415,0.74831,0.78675,0.92363,0.13067,0.10347,0.0826,0.02028,2.26405,5.26096,2.78973,0.000358911,0.000358911,0.000358911
3,33.3043,0.7044,0.61846,0.90435,0.05288,0.08134,0.03517,0.01225,2.23434,4.13343,3.1206,0.00053911,0.00053911,0.00053911
4,44.3735,0.69413,0.58727,0.90499,0.27724,0.06998,0.01308,0.00585,2.67063,6.23659,3.29123,0.000715596,0.000715596,0.000715596
5,54.9413,0.68629,0.52986,0.89825,0.01673,0.01136,0.00136,0.00043,2.80416,inf,12.4005,0.00088837,0.00088837,0.00088837
6,65.943,0.73507,0.54618,0.91834,0.01105,0.21567,0.0081,0.00444,2.55842,77.2919,9.18633,0.00105743,0.00105743,0.00105743
7,77.1902,0.72001,0.49503,0.89793,0.2732,0.05263,0.00997,0.00273,2.59,6.09032,3.86377,0.00117575,0.00117575,0.00117575
8,90.0458,0.65482,0.46354,0.88658,0.03681,0.064,0.01457,0.00371,2.60712,5.32114,3.6526,0.00116337,0.00116337,0.00116337
9,101.418,0.61927,0.42925,0.88617,0.03152,0.08672,0.01508,0.00418,2.56386,4.99458,3.46009,0.001151,0.001151,0.001151
10,113.488,0.63062,0.41842,0.88139,0.04467,0.08672,0.01429,0.00239,2.80241,5.16403,3.49199,0.00113863,0.00113863,0.00113863
11,123.806,0.5761,0.39813,0.85956,0.02066,0.0622,0.0123,0.00361,2.95679,5.62975,3.62209,0.00112625,0.00112625,0.00112625
12,140.435,0.57815,0.38183,0.87032,0.00128,0.064,0.00097,0.00015,3.22384,6.2825,3.48455,0.00111388,0.00111388,0.00111388
13,151.479,0.59191,0.40538,0.87867,0.51104,0.01316,0.00583,0.00217,3.18579,6.09043,3.6043,0.0011015,0.0011015,0.0011015
14,162.273,0.55798,0.37365,0.86613,0.00084,0.01316,0.00056,0.0001,3.20085,5.70988,3.38641,0.00108913,0.00108913,0.00108913
15,172.352,0.53102,0.37422,0.85893,0.01429,0.06388,0.0133,0.0034,3.20191,5.54048,3.56793,0.00107675,0.00107675,0.00107675
16,182.819,0.53553,0.36456,0.85963,0.50497,0.01316,0.00125,0.00041,2.85545,5.90035,3.30866,0.00106437,0.00106437,0.00106437
17,192.096,0.51857,0.35021,0.84844,0.50991,0.05263,0.00439,0.00091,2.7727,6.1577,3.45776,0.001052,0.001052,0.001052
18,201.6,0.5212,0.35215,0.84986,0.2603,0.02632,0.0046,0.00131,2.85447,5.32832,3.61487,0.00103962,0.00103962,0.00103962
19,210.742,0.52656,0.35102,0.84505,0.27136,0.03947,0.01144,0.00262,2.80666,5.25798,3.49234,0.00102725,0.00102725,0.00102725
20,219.691,0.56368,0.35856,0.86702,0.52642,0.05084,0.00688,0.00195,2.80892,5.59284,3.31831,0.00101488,0.00101488,0.00101488
21,228.349,0.5357,0.35466,0.85661,0.26894,0.03947,0.00512,0.00124,2.89397,5.68943,3.25214,0.0010025,0.0010025,0.0010025
22,237.18,0.51623,0.33347,0.84002,0.01794,0.05084,0.00664,0.00144,2.95776,5.38648,3.63433,0.000990125,0.000990125,0.000990125
